 Metabolite_name	RefMet_name	c876	c878	c879	c880	c886	c887	c888	c889	c890	c891	m851	m852	m853	m854	m855	m881	m882	m883	m884	m885	t856	t857	t858	t859	t860	t861	t863	t864	t865
Factors	-	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:control	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine	Treatment:hindlimb+taurine
Glutamine	Glutamine	0.5835	0.5574	0.5158	0.5576	0.5253	0.5016	0.5214	0.5567	0.6106	0.5118	0.4035	0.3842	0.3188	0.4121	0.3682	0.4077	0.3198	0.3188	0.3462	0.2555	0.2988	0.3347	0.3479	0.3313	0.3623	0.3265	0.3753	0.3807	0.2994
Glutathione	Glutathione	0.1147	0.0962	0.1169	0.0967	0.1195	0.0813	0.0713	0.1064	0.0865	0.0880	0.0723	0.0884	0.0787	0.1009	0.0708	0.0754	0.0604	0.0806	0.0834	0.0775	0.0583	0.0543	0.0662	0.0701	0.0811	0.0686	0.0764	0.0793	0.0479
Glycerol	Glycerol	0.3017	0.3282	0.3339	0.2992	0.2459	0.2944	0.2737	0.3052	0.3181	0.2785	0.2719	0.2721	0.2689	0.2420	0.2109	0.2408	0.2453	0.2700	0.2240	0.2658	0.2403	0.2156	0.2339	0.2040	0.2227	0.2281	0.2033	0.1948	0.1959
Glycine	Glycine	0.6702	0.6310	0.6152	0.6069	0.7255	0.6184	0.6926	0.7200	0.6829	0.6852	0.4375	0.5062	0.3525	0.5724	0.4370	0.5626	0.2160	0.2561	0.4045	0.4781	0.4480	0.4075	0.3946	0.3914	0.3828	0.4545	0.4992	0.4475	0.3369
Histamine	Histamine	0.0100	0.0108	0.0099	0.0115	0.0123	0.0089	0.0112	0.0114	0.0118	0.0127	0.0094	0.0075	0.0078	0.0074	0.0076	0.0082	0.0062	0.0079	0.0071	0.0079	0.0084	0.0083	0.0087	0.0080	0.0078	0.0077	0.0079	0.0076	0.0075
IMP	IMP	0.8492	0.8285	0.8325	0.8179	0.8553	0.8633	0.8563	0.8362	0.8366	0.8415	0.5836	0.6167	0.6953	0.6737	0.6810	0.6277	0.6438	0.6730	0.7056	0.6533	0.6469	0.7133	0.6226	0.6293	0.6369	0.6448	0.6186	0.6437	0.6115
Inosine	Inosine	0.0350	0.0271	0.0255	0.0289	0.0296	0.0236	0.0302	0.0304	0.0297	0.0291	0.0202	0.0202	0.0340	0.0243	0.0552	0.0277	0.0313	0.0354	0.0364	0.0419	0.0442	0.0447	0.0329	0.0309	0.0353	0.0340	0.0255	0.0486	0.0411
Isoleucine	Isoleucine	0.0363	0.0308	0.0336	0.0422	0.0377	0.0372	0.0403	0.0437	0.0438	0.0360	0.0322	0.0297	0.0446	0.0406	0.0432	0.0439	0.0465	0.0546	0.0458	0.0457	0.0606	0.0463	0.0453	0.0431	0.0456	0.0492	0.0404	0.0506	0.0558
Lactate	Lactic acid	20.1798	19.8297	20.0807	20.3829	20.6485	19.6635	20.0581	19.7967	19.5286	19.7031	16.9797	17.0806	11.7966	14.6926	12.2549	14.2336	13.6257	12.3833	11.4547	12.8913	12.6781	13.4910	13.5937	14.1384	13.1197	13.5251	16.0069	12.9029	13.5546
Leucine	Leucine	0.1792	0.1606	0.1708	0.2175	0.1982	0.1996	0.1932	0.2056	0.1976	0.1906	0.1569	0.1513	0.2340	0.1833	0.2063	0.1994	0.2380	0.2554	0.2216	0.2175	0.2801	0.2251	0.2157	0.2032	0.2161	0.2321	0.1807	0.2316	0.2821
Methanol	Methanol	0.1220	0.1380	0.2780	0.1231	0.2285	0.1226	0.8043	0.1178	0.1747	0.1953	0.5632	0.1353	0.2104	0.1341	2.4959	0.1098	0.1296	0.0869	0.2229	0.4233	0.0792	0.0886	0.0962	0.0833	0.2195	0.1092	0.0711	0.1028	0.0832
Methylmalonate	Methylmalonic acid	0.1320	0.1235	0.1483	0.1421	0.1406	0.1394	0.1175	0.1288	0.1229	0.1274	0.1036	0.1131	0.0809	0.0967	0.0907	0.1019	0.1301	0.1017	0.0854	0.0934	0.0818	0.1047	0.0941	0.0997	0.0871	0.0941	0.1110	0.0926	0.1137
MyoInositol	Myo-inositol	0.0435	0.0443	0.0424	0.0479	0.0402	0.0406	0.0449	0.0427	0.0376	0.0504	0.0337	0.0303	0.0301	0.0332	0.0200	0.0315	0.0276	0.0338	0.0266	0.0211	0.0304	0.0228	0.0296	0.0289	0.0317	0.0372	0.0354	0.0253	0.0294
NADH	NADH	0.0372	0.0467	0.0409	0.0420	0.0369	0.0326	0.0348	0.0409	0.0437	0.0327	0.0269	0.0267	0.0323	0.0289	0.0287	0.0273	0.0249	0.0277	0.0294	0.0316	0.0266	0.0292	0.0273	0.0255	0.0276	0.0296	0.0236	0.0296	0.0221
Niacinamide	Niacinamide	0.0481	0.0467	0.0475	0.0483	0.0481	0.0447	0.0482	0.0454	0.0495	0.0472	0.0333	0.0329	0.0393	0.0365	0.0411	0.0375	0.0321	0.0339	0.0431	0.0366	0.0348	0.0408	0.0370	0.0360	0.0343	0.0345	0.0355	0.0379	0.0334
OPhosphocholine	Choline phosphate	0.6667	0.6911	0.6802	0.6749	0.7086	0.6922	0.7131	0.7235	0.7032	0.6792	0.4907	0.5185	0.5206	0.4984	0.5069	0.4943	0.5621	0.5609	0.5499	0.5619	0.5305	0.5796	0.4835	0.5010	0.5322	0.4948	0.4380	0.5362	0.5136
Phenylalanine	Phenylalanine	0.0220	0.0204	0.0201	0.0235	0.0242	0.0212	0.0213	0.0226	0.0206	0.0262	0.0165	0.0176	0.0267	0.0178	0.0240	0.0229	0.0309	0.0332	0.0244	0.0252	0.0261	0.0234	0.0237	0.0226	0.0212	0.0242	0.0187	0.0225	0.0244
Proline	Proline	0.2407	0.2284	0.2229	0.2469	0.2434	0.2899	0.2425	0.2060	0.2548	0.2496	0.1679	0.1794	0.2431	0.2021	0.2369	0.2532	0.2671	0.2826	0.2266	0.2257	0.2320	0.2064	0.1966	0.1994	0.1949	0.2465	0.1669	0.2212	0.3080
snGlycero3phosphocholine	sn-Glycero-3-phosphocholine	1.0392	1.1238	1.0755	1.1011	1.0413	1.0064	1.0958	1.0871	1.0607	0.9905	0.7720	0.7995	1.2653	0.7954	1.1612	0.8527	1.3006	1.2792	1.3041	0.9192	1.2073	0.9873	0.8122	0.8125	0.8546	0.8114	0.7841	1.2354	1.2242
Succinate	Succinic acid	0.1229	0.1915	0.1419	0.1568	0.1085	0.1240	0.1164	0.1017	0.2511	0.1313	0.1211	0.0907	0.1456	0.1103	0.1183	0.0916	0.0641	0.1085	0.1195	0.1231	0.0755	0.0536	0.0777	0.0445	0.0888	0.0558	0.1082	0.0595	0.0548
Taurine	Taurine	10.9456	10.7115	10.7201	10.4424	10.6204	11.0349	11.0300	10.8572	10.5225	10.8090	7.8213	7.8605	9.4062	8.4732	9.3673	8.6583	8.8816	9.3378	9.6647	8.7533	8.8496	9.3731	8.8676	8.7014	8.5958	8.6400	8.2702	9.1184	8.7805
Threonine	Threonine	0.0779	0.0887	0.0877	0.0850	0.0817	0.0886	0.0741	0.0801	0.0747	0.0973	0.0727	0.0649	0.0752	0.0682	0.0423	0.0718	0.0655	0.0850	0.0543	0.0556	0.0621	0.0503	0.0534	0.0599	0.0521	0.0597	0.0547	0.0469	0.0470
Trimethylamine	Trimethylamine	0.0051	0.0069	0.0212	0.0093	0.0128	0.0046	0.0082	0.0120	0.0032	0.0156	0.0101	0.0107	0.0016	0.0025	0.0070	0.0071	0.0212	0.0136	0.0027	0.0131	0.0050	0.0023	0.0040	0.0065	0.0018	0.0017	0.0151	0.0020	0.0073
Tyrosine	Tyrosine	0.0327	0.0327	0.0306	0.0335	0.0347	0.0296	0.0259	0.0329	0.0253	0.0411	0.0179	0.0186	0.0304	0.0208	0.0289	0.0268	0.0467	0.0414	0.0276	0.0320	0.0328	0.0264	0.0277	0.0241	0.0236	0.0272	0.0204	0.0288	0.0324
Uridine	Uridine	0.0068	0.0057	0.0060	0.0081	0.0066	0.0062	0.0082	0.0076	0.0090	0.0066	0.0058	0.0050	0.0033	0.0065	0.0057	0.0059	0.0051	0.0057	0.0054	0.0066	0.0036	0.0073	0.0061	0.0060	0.0055	0.0058	0.0035	0.0048	0.0045
Valine	Valine	0.0929	0.0839	0.0878	0.1020	0.1037	0.0995	0.0984	0.1021	0.1036	0.1000	0.0784	0.0824	0.1158	0.0911	0.1130	0.1157	0.1325	0.1374	0.1136	0.1207	0.1268	0.1064	0.1086	0.0957	0.1033	0.1127	0.0875	0.1107	0.1287
																														
